***** Interaction Log File *****
Date and time: 8/31/2018 7:25:51 AM
Condition: Haptics
=============================================
t = 0.7760843, Start Question 1
=============================================
=============================================
t = 2.089934, Start Task 1
=============================================
t = 3.805942, Touch Down, x = -1.940617, y = 3.742617
t = 3.888881, Touch Move Start , x = -2.113886, y = 3.707964
t = 3.888881, Touch Move Counter-Clockwise Zone1, Left, x = -2.113886, y = 3.707964
t = 3.905341, Touch Move Counter-Clockwise Zone1, Left, x = -2.287155, y = 3.67331
t = 3.922109, Touch Move Counter-Clockwise Zone1, Left, x = -2.425771, y = 3.638656
t = 3.938474, Touch Move Counter-Clockwise Zone1, Left, x = -2.564386, y = 3.604002
t = 3.95504, Touch Move Counter-Clockwise Zone1, Left, x = -2.703002, y = 3.604002
t = 3.971607, Touch Move Counter-Clockwise Zone1, Left, x = -2.77231, y = 3.604002
t = 3.988174, Touch Move Counter-Clockwise Zone1, Left, x = -2.910925, y = 3.604002
t = 4.004827, Touch Move Counter-Clockwise Zone1, Left, x = -3.084194, y = 3.569348
t = 4.021308, Touch Move Counter-Clockwise Zone1, Left, x = -3.153502, y = 3.569348
t = 4.037874, Touch Move Counter-Clockwise Zone1, Left, x = -3.257463, y = 3.604002
t = 4.054482, Touch Move Counter-Clockwise Zone1, Left, x = -3.326771, y = 3.604002
t = 4.071008, Touch Move Counter-Clockwise Zone1, Left, x = -3.500041, y = 3.604002
t = 4.087573, Touch Move Counter-Clockwise Zone1, Left, x = -3.604002, y = 3.604002
t = 4.120708, Touch Move Counter-Clockwise Zone12, Left Down, x = -3.707964, y = 3.604002
t = 4.137274, Touch Move Counter-Clockwise Zone12, Left Down, x = -3.777272, y = 3.604002
t = 4.154227, Touch Move Counter-Clockwise Zone12, Left Down, x = -3.881233, y = 3.604002
t = 4.170408, Touch Move Counter-Clockwise Zone12, Left Down, x = -3.950541, y = 3.604002
t = 4.186974, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.019848, y = 3.604002
t = 4.203541, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.089156, y = 3.604002
t = 4.220108, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.12381, y = 3.604002
t = 4.236675, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.158464, y = 3.604002
t = 4.253494, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.193118, y = 3.569348
t = 4.269808, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.227772, y = 3.534695
t = 4.28658, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.262425, y = 3.465386
t = 4.302941, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.29708, y = 3.396079
t = 4.319508, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.29708, y = 3.257464
t = 4.336075, Touch Move Counter-Clockwise Zone12, Left Down, x = -4.331733, y = 3.188155
t = 4.352641, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 2.980233
t = 4.369301, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 2.910925
t = 4.385847, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 2.703002
t = 4.402341, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 2.564386
t = 4.418933, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 2.287155
t = 4.435478, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = 2.079232
t = 4.452041, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = 1.940617
t = 4.468607, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 1.663386
t = 4.485174, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 1.490116
t = 4.501761, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 1.420809
t = 4.518307, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 1.247539
t = 4.535239, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 1.07427
t = 4.551441, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.9010004
t = 4.568021, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.7970387
t = 4.584574, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.6584235
t = 4.60142, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.5198078
t = 4.617708, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.3465385
t = 4.634274, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.2425768
t = 4.650858, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.2079234
t = 4.667408, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 0.1039617
t = 4.684136, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = 0
t = 4.700541, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.1039617
t = 4.717106, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.2772309
t = 4.733675, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.3118847
t = 4.750312, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.3811926
t = 4.766808, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.4505002
t = 4.799961, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.485154
t = 4.816507, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.5198081
t = 4.833074, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.5544619
t = 4.849641, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.5891157
t = 4.866209, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = -0.6237695
t = 4.882774, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.401041, y = -0.6584235
t = 4.915907, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.401041, y = -0.6930773
t = 4.94905, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.401041, y = -0.762385
t = 4.965608, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.366387, y = -0.762385
t = 4.982427, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.366387, y = -0.797039
t = 4.998976, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.366387, y = -0.8316928
t = 5.032064, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.366387, y = -0.8663466
t = 5.048441, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.331733, y = -0.9010004
t = 5.081726, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.29708, y = -0.9703083
t = 5.098145, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.262425, y = -0.9703083
t = 5.114708, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.227772, y = -1.039616
t = 5.131274, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.158464, y = -1.039616
t = 5.148371, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.12381, y = -1.07427
t = 5.164411, Touch Move Counter-Clockwise Zone23, Down Right, x = -4.019848, y = -1.108924
t = 5.180974, Touch Move Counter-Clockwise Zone23, Down Right, x = -3.950541, y = -1.108924
t = 5.198006, Touch Move Counter-Clockwise Zone23, Down Right, x = -3.881233, y = -1.108924
t = 5.214162, Touch Move Counter-Clockwise Zone23, Down Right, x = -3.777272, y = -1.108924
t = 5.230684, Touch Move Counter-Clockwise Zone23, Down Right, x = -3.742618, y = -1.108924
t = 5.247242, Touch Move Counter-Clockwise Zone3, Right, x = -3.569348, y = -1.143578
t = 5.263817, Touch Move Counter-Clockwise Zone3, Right, x = -3.534695, y = -1.143578
t = 5.280756, Touch Move Counter-Clockwise Zone3, Right, x = -3.396079, y = -1.143578
t = 5.296951, Touch Move Counter-Clockwise Zone3, Right, x = -3.257463, y = -1.143578
t = 5.313508, Touch Move Counter-Clockwise Zone3, Right, x = -3.153502, y = -1.143578
t = 5.330393, Touch Move Counter-Clockwise Zone3, Right, x = -3.04954, y = -1.143578
t = 5.346907, Touch Move Counter-Clockwise Zone3, Right, x = -2.910925, y = -1.143578
t = 5.363208, Touch Move Counter-Clockwise Zone3, Right, x = -2.77231, y = -1.178231
t = 5.379775, Touch Move Counter-Clockwise Zone3, Right, x = -2.703002, y = -1.178231
t = 5.39634, Touch Move Counter-Clockwise Zone3, Right, x = -2.564386, y = -1.178231
t = 5.413076, Touch Move Counter-Clockwise Zone3, Right, x = -2.425771, y = -1.178231
t = 5.429475, Touch Move Counter-Clockwise Zone3, Right, x = -2.321809, y = -1.178231
t = 5.44604, Touch Move Counter-Clockwise Zone3, Right, x = -2.183193, y = -1.178231
t = 5.462712, Touch Move Counter-Clockwise Zone3, Right, x = -2.079232, y = -1.178231
t = 5.479188, Touch Move Counter-Clockwise Zone3, Right, x = -1.97527, y = -1.178231
t = 5.495795, Touch Move Counter-Clockwise Zone3, Right, x = -1.905963, y = -1.178231
t = 5.512307, Touch Move Counter-Clockwise Zone3, Right, x = -1.836655, y = -1.178231
t = 5.528882, Touch Move Counter-Clockwise Zone3, Right, x = -1.732693, y = -1.178231
t = 5.545929, Touch Move Counter-Clockwise Zone3, Right, x = -1.628732, y = -1.178231
t = 5.562007, Touch Move Counter-Clockwise Zone3, Right, x = -1.52477, y = -1.178231
t = 5.578575, Touch Move Counter-Clockwise Zone3, Right, x = -1.420808, y = -1.178231
t = 5.595141, Touch Move Counter-Clockwise Zone3, Right, x = -1.316847, y = -1.178231
t = 5.611707, Touch Move Counter-Clockwise Zone3, Right, x = -1.178232, y = -1.178231
t = 5.62865, Touch Move Counter-Clockwise Zone3, Right, x = -1.039616, y = -1.178231
t = 5.64484, Touch Move Counter-Clockwise Zone3, Right, x = -0.9010004, y = -1.212885
t = 5.661407, Touch Move Counter-Clockwise Zone3, Right, x = -0.7623851, y = -1.212885
t = 5.677994, Touch Move Counter-Clockwise Zone3, Right, x = -0.727731, y = -1.212885
t = 5.69454, Touch Move Counter-Clockwise Zone3, Right, x = -0.5891156, y = -1.212885
t = 5.711109, Touch Move Counter-Clockwise Zone3, Right, x = -0.554462, y = -1.212885
t = 5.728574, Touch Move Counter-Clockwise Zone3, Right, x = -0.4505002, y = -1.212885
t = 5.745181, Touch Move Counter-Clockwise Zone3, Right, x = -0.4158467, y = -1.212885
t = 5.76174, Touch Move Counter-Clockwise Zone3, Right, x = -0.3465384, y = -1.212885
t = 5.794843, Touch Move Counter-Clockwise Zone3, Right, x = -0.2772307, y = -1.212885
t = 5.819518, Touch Move Counter-Clockwise Zone3, Right, x = -0.2079231, y = -1.212885
t = 5.871873, Touch Move Counter-Clockwise Zone3, Right, x = -0.1732695, y = -1.212885
t = 5.905005, Touch Move Counter-Clockwise Zone3, Right, x = -0.1386154, y = -1.212885
t = 6.004858, Touch Move Counter-Clockwise Zone3, Right, x = -0.1039618, y = -1.212885
t = 6.302607, Touch Move Clockwise Zone3, Right, x = -0.1039618, y = -1.247539
t = 6.385916, Touch Move End , x = -0.1039618, y = -1.247539
t = 6.385916, Touch Up, x = -0.1039618, y = -1.247539
t = 13.22154, Touch Move Start , x = -4.782234, y = 1.871309
t = 13.22154, Touch Move Clockwise Zone2, Down, x = -4.782234, y = 1.871309
t = 13.25466, Touch Move Clockwise Zone2, Down, x = -4.74758, y = 1.871309
t = 13.27108, Touch Move Clockwise Zone2, Down, x = -4.712926, y = 1.871309
t = 13.30422, Touch Move Clockwise Zone2, Down, x = -4.678272, y = 1.871309
t = 13.32078, Touch Move Clockwise Zone2, Down, x = -4.643618, y = 1.871309
t = 13.35391, Touch Move Clockwise Zone2, Down, x = -4.608964, y = 1.871309
t = 13.37047, Touch Move Clockwise Zone2, Down, x = -4.57431, y = 1.871309
t = 13.45235, Touch Move Clockwise Zone2, Down, x = -4.505003, y = 1.871309
t = 13.5155, Touch Move Counter-Clockwise Zone2, Down, x = -4.435695, y = 1.836655
t = 13.54887, Touch Move Clockwise Zone2, Down, x = -4.401041, y = 1.836655
t = 13.56541, Touch Move Counter-Clockwise Zone2, Down, x = -4.401041, y = 1.802001
t = 13.58196, Touch Move Clockwise Zone2, Down, x = -4.366387, y = 1.802001
t = 13.6149, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.767347
t = 13.63159, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.732693
t = 13.65359, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.663386
t = 13.67955, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.628731
t = 13.69612, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.594078
t = 13.72935, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.559424
t = 13.74582, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.52477
t = 13.76244, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.455462
t = 13.79552, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.386155
t = 13.81208, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.351501
t = 13.82865, Touch Move Counter-Clockwise Zone2, Down, x = -4.331733, y = 1.316847
t = 13.86178, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.247539
t = 13.87875, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.212885
t = 13.89492, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.178231
t = 13.91186, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.07427
t = 13.92805, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 1.004962
t = 13.94496, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.9010004
t = 13.96118, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.8316928
t = 13.99432, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.7623852
t = 14.01089, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.7277312
t = 14.02745, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.693077
t = 14.04402, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.6237695
t = 14.06058, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.589116
t = 14.07715, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.4851543
t = 14.09432, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.4158461
t = 14.11086, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.3465385
t = 14.12741, Touch Move Counter-Clockwise Zone2, Down, x = -4.366387, y = 0.2772309
